Day,Group,Metric,Unit,Amount
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,74.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,75.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,75.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,79.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,79.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,79.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,79.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,79.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,79.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,82.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,82.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,84.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,84.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,85.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,85.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,87.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,87.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,88.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,88.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,112.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,112.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,122.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,122.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,124.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,124.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,130.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,130.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,136.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,136.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,139.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,139.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,139.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,139.0
